Step,T0_G0,T0_G1,T0_G2,T0_G3,T1_G0,T1_G1,T1_G2,T1_G3,T2_G0,T2_G1,T2_G2,T2_G3,T3_G0,T3_G1,T3_G2,T3_G3,T4_G0,T4_G1,T4_G2,T4_G3,T5_G0,T5_G1,T5_G2,T5_G3
0,-64.99190442853117,-73.77850076299934,-72.1608592948197,-67.52275818549904,-71.73122261339641,-73.73079580258053,-71.70330543750988,-67.46767222859256,-70.47760604266574,-71.35366989702405,-69.53873076113828,-69.64517518340234,-71.76805846243052,-65.95545110550421,-69.19750929530454,-73.26681889936435,-70.41133157123963,-72.80169020049942,-69.87736064843271,-69.0247066320196,-73.06001176582845,-68.58128804871251,-65.01035190820045,-72.89820616572199
1,-67.29849739272797,-78.06201201275971,-76.57552497057637,-70.59188933509807,-74.01208713571828,-77.19462812247778,-74.24330484549638,-70.14496562916375,-74.51746915254282,-75.28865469271715,-73.07243099168568,-72.74383626059289,-76.01621992047284,-69.54694166090233,-73.40232240243371,-76.74003763186955,-73.75964551329278,-76.11849742678828,-74.51320047627074,-71.95976135860052,-77.38940488221188,-70.88701661737905,-67.029937991846,-77.11225408313199
2,-67.78231738204403,-80.0282294351408,-79.042833572091,-72.0234387508545,-76.42485174069753,-79.49568457576993,-77.27578024916993,-71.69671969880649,-76.47541470825618,-75.84015028793371,-75.88716623995856,-74.46911891652316,-79.26141666234328,-71.09544603398572,-74.95711080439236,-78.59834925319846,-75.5315366035866,-77.68978008866557,-76.73082187898576,-73.94777146223666,-79.16980608103128,-72.36028927145748,-69.4869413199504,-80.20126807438989
3,-69.03628120632905,-80.98510173732917,-80.65343494946622,-72.87166794401769,-77.29854391873661,-80.63016792075892,-78.49249982030574,-72.45756756625691,-77.24647760480059,-77.46969803587912,-77.32403002672145,-76.34092771635306,-80.97339082537971,-71.56002866600282,-76.29462395789332,-80.08828788871364,-76.76297622519922,-78.86692915411095,-77.49350303662006,-74.95737264152524,-81.03454972887205,-73.20295928031949,-71.24954299216115,-82.29550464423234
4,-70.10508697340173,-82.47739874100876,-81.58411287108291,-74.34919963818709,-77.85501704138481,-80.7386163305943,-79.86634126889416,-72.36957265179302,-78.55516084514285,-78.29949083220782,-78.6199557274454,-77.56874399747846,-80.95752296979894,-73.13351726842433,-76.67396247874268,-80.95655605853669,-78.19972216945051,-80.73364589067486,-78.3420116549023,-75.87853920018124,-81.90792264042014,-73.70875288398013,-70.55303940313647,-83.00774569720456
5,-70.68379045660132,-82.86346000529394,-82.33287903137263,-74.11986488566555,-77.56825980728017,-81.33825049570461,-79.81223616494059,-73.37940813281199,-79.30405498089671,-79.27897167739732,-79.21184472126228,-79.0017046829585,-81.06054641639264,-73.39346238921443,-77.9978805510409,-82.25879517784061,-78.69656648323722,-80.76476623035515,-77.86327818879901,-74.60589780181364,-82.41570889531317,-74.6237727050808,-72.14382444283838,-83.22228977449944
6,-70.98048906794821,-83.46471587765107,-83.3227848316248,-74.77949309302393,-77.2373257615442,-81.87501987448256,-80.66359955446782,-74.01473142575563,-80.40534241983582,-79.73511813624997,-79.44909396055165,-78.29708885465763,-81.41094145077864,-72.91750434355458,-78.40790234201882,-83.27933522354377,-79.75202267684175,-81.6446939777921,-77.4499844444088,-75.74877367417182,-82.54473828504729,-75.22804205256571,-71.5960708288292,-83.31078906647616
7,-70.83673528353148,-83.69385139916966,-84.05925268879568,-74.93505198654219,-77.82743651566192,-83.01495379201886,-81.88673310113442,-73.8142835458195,-79.42631249570768,-79.71169358696791,-79.6553585464706,-78.59679866742344,-81.02291932632518,-72.99042191307498,-78.65517819439938,-82.76647181869424,-79.7531515247067,-81.04700044761495,-78.21187787596182,-76.79177707330925,-83.83977182912093,-74.27219850399833,-70.76993087843125,-83.68204610547559
8,-70.85547724029921,-83.04473501758426,-84.83850975959419,-75.77542307444176,-77.6591566555105,-83.39027515787767,-82.082601158303,-73.85134321651763,-79.39039807087825,-79.01773635173748,-79.69133003503843,-78.61970590098107,-82.56296246566822,-73.18876710858407,-79.06901503010032,-83.6564897852666,-80.46319248446962,-81.62849284383155,-78.3665385764843,-77.60311010716558,-84.01939357443929,-74.73801187663696,-71.2843066022515,-83.3095635366491
9,-70.37015779510169,-82.6398887302144,-84.88930612466262,-76.27887050005447,-78.00642670316034,-83.31816797769008,-82.1266325328847,-74.37704694489756,-79.49809499523288,-79.1517493256076,-78.40316192215106,-77.96866106777134,-83.03463560245983,-73.46225351428117,-79.70583667077746,-83.96353258859155,-80.33302048781496,-81.21734107620996,-79.3698773371021,-77.8290296983574,-85.32950373179472,-74.90262690785367,-72.0562638930591,-83.86849019336128
10,-70.78211411036584,-83.11948969927417,-85.79362054718534,-77.06274623890636,-76.98640133962316,-84.09330063162068,-82.8475691222113,-73.17961411399739,-78.05391120310212,-80.00663027786113,-79.02594904759317,-78.32498578231028,-81.9814331691488,-74.0398699414362,-79.51070997839561,-83.44710417407869,-80.17373603282084,-81.77368494631841,-79.77870984669859,-78.3835069776695,-85.25102598516403,-75.07864806364445,-71.91823157971186,-84.28963131972348
11,-70.35342952478743,-82.87065270771548,-85.41856128580635,-76.65089192587253,-77.36519044232452,-83.96232612762039,-83.17032165027759,-73.1286229508613,-78.62425214502193,-78.86477446270665,-78.43025167338952,-78.56083111656555,-82.56076919903407,-74.52888646557832,-78.59181799113789,-83.34880410291335,-80.0330695523843,-82.9191755251255,-79.50299411966482,-77.7987161396814,-85.665410635245,-75.31789426262962,-71.80053723405723,-84.26806520399401
